experiment,fold,best_epoch,MAE,RMSE,R2
E0_environmental,1,34,0.20676499605178833,0.5522637963294983,0.8201359510421753
E0_environmental,2,39,0.07561610639095306,0.3161763548851013,0.8409167528152466
E0_environmental,3,50,0.016998186707496643,0.14151453971862793,0.9078341722488403
E0_environmental,4,34,0.002916333731263876,0.04141572117805481,0.7730127573013306
E0_environmental,5,4,0.024365311488509178,0.15045274794101715,0.871101975440979
E1_environmental_tweet_count,1,27,0.2301419973373413,0.5589190721511841,0.8157747983932495
E1_environmental_tweet_count,2,43,0.08123265951871872,0.30593112111091614,0.8510594367980957
E1_environmental_tweet_count,3,26,0.01970045454800129,0.15460412204265594,0.8899955749511719
E1_environmental_tweet_count,4,46,0.0028279477264732122,0.03937966749072075,0.7947821617126465
E1_environmental_tweet_count,5,13,0.02001423016190529,0.13393190503120422,0.8978556990623474
E3_environmental_semantic,1,27,0.20057587325572968,0.5257250666618347,0.8370071649551392
E3_environmental_semantic,2,37,0.07586228847503662,0.294217050075531,0.8622468709945679
E3_environmental_semantic,3,20,0.016965696588158607,0.13795794546604156,0.9124085903167725
E3_environmental_semantic,4,18,0.003449896816164255,0.04222589358687401,0.764045238494873
E3_environmental_semantic,5,42,0.01674739085137844,0.11823143810033798,0.9204002022743225
E4_environmental_semantic_tweet_count,1,49,0.18406546115875244,0.5117309093475342,0.8455690145492554
E4_environmental_semantic_tweet_count,2,47,0.07363451272249222,0.2916310727596283,0.8646577596664429
E4_environmental_semantic_tweet_count,3,21,0.01635310985147953,0.1405421644449234,0.909096360206604
E4_environmental_semantic_tweet_count,4,49,0.0021286190021783113,0.03151986375451088,0.868526041507721
E4_environmental_semantic_tweet_count,5,42,0.016857510432600975,0.1198798194527626,0.9181651473045349
